feature,importance
sentiment_neg,0.06562841
sentiment_score,0.050150227
ema_26,0.048286542
forward_pe,0.045813292
eps,0.044764128
sma_200,0.044639092
ema_12,0.044262573
bb_upper,0.04357562
pe_ratio,0.042528544
bb_lower,0.04217395
sma_50,0.04201638
profit_margin,0.041972127
macd_signal,0.04092985
sma_20,0.03888501
ret_20d,0.038755763
macd_hist,0.03810029
sent_momentum,0.03505815
bb_pct,0.035013553
macd,0.033865944
revenue_growth,0.032672074
debt_to_equity,0.032223698
ret_5d,0.03139824
sentiment_pos,0.030458532
vol_ratio,0.028766382
ret_1d,0.028061634
